,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
38,0.1031686782836914,0.0033255100250244142,0.7286527514231499,0.7419372248739269,0.1,"(100, 25, 100)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 7}",125,0.8151658767772512,0.7817319098457889,0.7582938388625592,0.7354685646500593,0.6729857819905213,0.7366548042704626,0.7298578199052133,0.7212336892052195,0.6666666666666666,0.7345971563981043,0.04301433983543215,0.0061622170138729915,0.05532078756764167,0.020668224301805396
39,0.11291694641113281,0.001203012466430664,0.7922201138519924,0.8135686697812485,0.1,"(100, 25, 100)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 10}",49,0.8530805687203792,0.8327402135231317,0.8199052132701422,0.8042704626334519,0.7582938388625592,0.833926453143535,0.8009478672985783,0.7888493475682088,0.7285714285714285,0.8080568720379147,0.039633146206095426,0.002406024932861328,0.04413346114550858,0.0173773927507642
40,0.15101733207702636,0.0,0.8415559772296015,0.8666947766102779,0.1,"(100, 25, 100)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 15}",7,0.8720379146919431,0.8600237247924081,0.8862559241706162,0.8517200474495848,0.8436018957345972,0.8778173190984578,0.7582938388625592,0.8623962040332147,0.8476190476190476,0.8815165876777251,0.027177974849399517,0.0,0.04451962081060412,0.011230496041703265
41,0.046862030029296876,0.0,0.7258064516129032,0.7246209374103996,0.1,"(100, 25, 100)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 20}",129,0.7488151658767772,0.7164887307236062,0.7014218009478673,0.7247924080664294,0.7203791469194313,0.7378410438908659,0.7251184834123223,0.7212336892052195,0.7333333333333333,0.7227488151658767,0.010123230395289886,0.0,0.015565826802881337,0.00715418332501212
42,0.12802481651306152,0.0,0.8197343453510436,0.8403706577164606,0.1,"(100, 25, 100)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 25}",17,0.8672985781990521,0.8279952550415184,0.8530805687203792,0.8410438908659549,0.8056872037914692,0.8410438908659549,0.7725118483412322,0.8540925266903915,0.8,0.8376777251184834,0.022827699307159968,0.0,0.035199670638495106,0.008361801854015657
43,0.0781362533569336,0.006250524520874023,0.818785578747628,0.8297049018119671,0.1,"(100, 25, 100)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 30}",21,0.9241706161137441,0.8315539739027283,0.8815165876777251,0.8446026097271648,0.7677725118483413,0.8279952550415184,0.7440758293838863,0.8505338078291815,0.7761904761904762,0.7938388625592417,5.866066147051083e-06,0.0076552978686399865,0.07078779217256993,0.019740819427546925
44,0.14358620643615722,0.0,0.8387096774193549,0.8546013166697588,0.1,"(100, 25, 100)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 35}",8,0.8767772511848341,0.8517200474495848,0.8530805687203792,0.830367734282325,0.8720379146919431,0.8623962040332147,0.7582938388625592,0.8730723606168446,0.8333333333333334,0.8554502369668247,0.03911825809676017,0.0,0.04305971819394948,0.01412960457212141
45,0.04062938690185547,0.0,0.6631878557874763,0.6631877800453132,0.01,"(50, 50)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",145,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6635071090047393,0.6631079478054567,0.6619047619047619,0.6635071090047393,0.007655609337861716,0.0,0.0006400248824124762,0.00015966447971305087
46,0.04687995910644531,0.0,0.7485768500948766,0.7514246119422283,0.01,"(50, 50)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",97,0.8246445497630331,0.7425860023724793,0.7772511848341233,0.7437722419928826,0.6682464454976303,0.7734282325029656,0.7298578199052133,0.7520759193357058,0.7428571428571429,0.745260663507109,0.024208577523434763,0.0,0.05187909799994369,0.011482661402136838
47,0.07810864448547364,0.0,0.6574952561669829,0.6826213084616553,0.01,"(50, 50)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",163,0.7298578199052133,0.7319098457888493,0.45023696682464454,0.5776986951364176,0.7014218009478673,0.697508896797153,0.6587677725118484,0.6548042704626335,0.7476190476190476,0.7511848341232228,0.027442079387117926,0.0,0.10794677243429587,0.06186194248402202
